"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","2.5","11.1","126.1","175","900","0","0"
"2","5.1","22.6","111.7","251","1164","27","0"
"3","7.7","34.3","111.4","253","1171","25","0"
"4","9.8","43.5","111.4","253","1171","25","0"
"5","12.3","55.2","110.9","257","1183","26","0"
"6","14.4","64.4","110.9","257","1183","26","0"
"7","17.0","76.4","111.1","255","1178","25","0"
"8","19.0","85.8","109.3","268","1222","26","0"
"9","21.6","97.5","108.9","271","1232","25","0"
"10","24.2","109.4","110.7","258","1187","25","0"
"11","26.3","118.6","110.7","258","1187","25","0"
"12","28.8","130.6","110.2","262","1200","25","0"
"13","31.4","142.5","109.3","268","1222","25","0"
"14","33.5","151.7","109.3","268","1222","25","0"
"15","36.0","163.6","110.3","261","1197","24","0"
"16","38.6","175.3","110.7","258","1187","24","0"
"17","41.2","187.1","110.0","263","1205","25","0"
"18","43.3","196.3","110.0","263","1205","25","0"
"19","45.8","208.1","110.0","263","1205","24","0"
"20","48.4","220.0","110.0","263","1205","25","0"
"21","51.0","231.8","109.9","264","1207","25","0"
"22","53.1","241.0","109.9","264","1207","25","0"
"23","55.6","252.8","110.2","262","1200","25","0"
"24","58.2","264.5","109.6","266","1214","24","0"
"25","60.8","276.3","110.7","258","1187","23","0"
"26","63.4","288.1","110.2","262","1200","24","0"
"27","66.0","299.7","110.6","259","1190","24","0"
"28","68.5","311.5","110.9","257","1183","24","0"
"29","71.1","323.2","110.3","261","1197","24","0"
"30","73.2","332.3","110.3","261","1197","24","0"
"31","75.8","344.3","109.8","264","1209","24","0"
"32","78.3","356.0","109.7","265","1212","24","0"
"33","80.9","367.9","109.7","265","1212","24","0"
"34","83.0","377.2","109.7","265","1212","24","0"
"35","85.5","389.0","109.0","270","1230","25","0"
"36","88.1","401.0","109.9","264","1207","25","0"
"37","90.7","412.8","109.5","267","1217","25","0"
"38","93.3","424.7","109.7","265","1212","25","0"
"39","95.3","433.9","109.7","265","1212","25","0"
"40","97.9","445.7","109.3","268","1222","24","0"
"41","100.5","457.5","110.0","263","1205","24","0"
"42","103.1","469.3","110.6","259","1190","24","0"
"43","105.7","481.0","110.8","257","1185","24","0"
"44","107.7","490.1","110.8","257","1185","24","0"
"45","110.3","501.8","111.3","254","1173","24","0"
"46","112.9","513.6","110.6","259","1190","24","0"
"47","115.5","525.4","110.5","259","1192","25","0"
"48","117.5","534.6","110.5","259","1192","25","0"
"49","120.1","546.3","110.7","258","1187","25","0"
"50","122.7","558.0","112.1","248","1155","25","0"
"51","124.7","567.1","112.1","248","1155","25","0"
"52","127.3","578.7","111.0","256","1180","25","0"
"53","129.9","590.5","111.4","253","1171","24","0"
"54","132.5","602.1","110.8","257","1185","24","0"
"55","135.0","613.7","111.8","250","1161","24","0"
"56","137.6","625.2","112.3","247","1150","24","0"
"57","139.7","634.3","112.3","247","1150","24","0"
"58","142.3","645.9","111.5","252","1168","25","0"
"59","144.8","657.5","111.6","252","1166","24","0"
"60","147.4","669.3","110.7","258","1187","25","0"
"61","149.5","678.6","110.7","258","1187","25","0"
"62","152.1","690.3","110.2","262","1200","25","0"
"63","154.6","702.3","109.2","269","1225","25","0"
"64","156.7","711.5","109.2","269","1225","25","0"
"65","159.3","723.3","110.0","263","1205","25","0"
"66","161.8","735.2","109.9","264","1207","25","0"
"67","164.4","746.9","111.2","255","1176","24","0"
"68","166.5","756.1","111.2","255","1176","24","0"
"69","169.1","768.1","109.7","265","1212","25","0"
"70","171.1","777.3","109.7","265","1212","25","0"
"71","173.7","789.1","110.0","263","1205","25","0"
"72","176.3","801.0","110.7","258","1187","25","0"
"73","178.3","810.2","110.7","258","1187","25","0"
"74","180.9","822.1","110.1","262","1202","25","0"
"75","183.5","834.0","109.6","266","1214","25","0"
"76","186.1","845.8","110.1","262","1202","24","0"
"77","188.2","855.0","110.1","262","1202","24","0"
"78","190.7","866.7","110.4","260","1195","25","0"
"79","193.3","878.6","110.4","260","1195","24","0"
"80","195.4","887.9","110.2","262","1200","24","0"
"81","197.9","899.5","109.8","264","1209","25","0"
"82","200.5","911.3","111.4","253","1171","25","0"
"83","203.1","923.1","110.4","260","1195","25","0"
"84","205.2","932.3","110.4","260","1195","25","0"
"85","207.7","944.1","110.8","257","1185","25","0"
"86","209.8","953.3","110.8","257","1185","25","0"
"87","212.4","964.9","111.4","253","1171","25","0"
"88","214.9","976.6","110.8","257","1185","25","0"
"89","217.0","985.9","110.8","257","1185","25","0"
"90","219.6","997.6","110.1","262","1202","24","0"
"91","222.2","1009.5","110.3","261","1197","25","0"
"92","224.2","1018.8","109.8","264","1209","24","0"
"93","226.8","1030.5","109.7","265","1212","25","0"
"94","229.4","1042.4","109.9","264","1207","26","0"
"95","232.0","1054.2","111.0","256","1180","24","0"
"96","234.0","1063.3","111.0","256","1180","24","0"
"97","236.6","1075.1","110.7","258","1187","25","0"
"98","238.7","1084.4","111.1","255","1178","24","0"
"99","241.2","1096.1","109.9","264","1207","26","0"
"100","243.8","1107.9","110.5","259","1192","24","0"
