"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"101","246.4","1119.7","110.6","259","1190","25","0"
"102","248.5","1129.0","110.6","259","1190","25","0"
"103","251.0","1140.9","109.2","269","1225","25","0"
"104","253.1","1150.1","109.8","264","1209","25","0"
"105","255.7","1161.8","110.0","263","1205","25","0"
"106","258.3","1173.6","110.7","258","1187","25","0"
"107","260.3","1182.9","110.7","258","1187","25","0"
"108","262.9","1194.8","110.1","262","1202","25","0"
"109","265.0","1204.0","109.5","267","1217","26","0"
"110","267.5","1215.9","110.7","258","1187","25","0"
"111","270.1","1227.7","110.1","262","1202","25","0"
"112","272.2","1236.9","110.1","262","1202","25","0"
"113","274.7","1248.8","110.5","259","1192","25","0"
"114","276.8","1258.1","110.1","262","1202","26","0"
"115","279.4","1270.0","109.9","264","1207","25","0"
"116","282.0","1281.9","110.1","262","1202","25","0"
"117","284.0","1291.1","110.1","262","1202","25","0"
"118","286.6","1303.1","109.5","267","1217","26","0"
"119","288.7","1312.5","109.2","269","1225","26","0"
"120","291.3","1324.5","109.5","267","1217","27","0"
"121","293.3","1333.7","109.5","267","1217","27","0"
"122","295.9","1345.6","110.1","262","1202","25","0"
"123","298.0","1354.8","110.5","259","1192","25","0"
"124","300.5","1366.7","110.1","262","1202","26","0"
"125","303.1","1378.6","110.0","263","1205","25","0"
"126","305.2","1387.7","110.0","263","1205","25","0"
"127","307.7","1399.5","110.3","261","1197","25","0"
"128","310.3","1411.5","109.4","267","1219","26","0"
"129","312.4","1420.7","109.4","267","1219","26","0"
"130","315.0","1432.5","109.9","264","1207","25","0"
"131","317.6","1444.5","110.2","262","1200","25","0"
"132","319.6","1453.7","110.2","262","1200","25","0"
"133","322.2","1465.5","110.8","257","1185","25","0"
"134","324.2","1474.7","110.8","257","1185","25","0"
"135","326.8","1486.7","110.0","263","1205","26","0"
"136","328.9","1495.9","110.0","263","1205","26","0"
"137","331.5","1507.7","110.3","261","1197","26","0"
"138","333.5","1516.9","110.3","261","1197","26","0"
"139","336.1","1528.8","111.0","256","1180","25","0"
"140","338.7","1540.6","110.3","261","1197","25","0"
"141","340.7","1549.8","110.3","261","1197","25","0"
"142","343.3","1561.7","110.0","263","1205","25","0"
"143","345.9","1573.7","109.2","269","1225","25","0"
"144","348.0","1583.0","109.2","269","1225","25","0"
"145","350.6","1594.9","109.9","264","1207","25","0"
"146","352.6","1604.0","109.9","264","1207","25","0"
"147","355.2","1615.9","111.0","256","1180","26","0"
"148","357.2","1625.1","110.3","261","1197","26","0"
"149","359.8","1637.2","110.0","263","1205","25","0"
"150","362.4","1648.9","110.6","259","1190","25","0"
"151","364.5","1658.1","110.6","259","1190","25","0"
"152","367.1","1670.0","110.5","259","1192","25","0"
"153","369.1","1679.3","110.0","263","1205","25","0"
"154","371.7","1691.1","110.1","262","1202","25","0"
"155","374.3","1703.1","109.7","265","1212","25","0"
"156","376.3","1712.4","109.7","265","1212","25","0"
"157","378.9","1724.4","109.3","268","1222","26","0"
"158","381.0","1733.6","109.3","268","1222","26","0"
"159","383.5","1745.5","110.3","261","1197","25","0"
"160","385.6","1754.7","110.3","261","1197","25","0"
"161","388.2","1766.6","110.0","263","1205","26","0"
"162","390.2","1775.9","109.6","266","1214","25","0"
"163","392.8","1787.7","110.0","263","1205","25","0"
"164","395.4","1799.5","110.1","262","1202","25","0"
"165","397.5","1808.7","110.1","262","1202","25","0"
"166","400.0","1820.6","110.0","263","1205","25","0"
"167","402.6","1832.4","110.3","261","1197","25","0"
"168","404.7","1841.6","110.3","261","1197","25","0"
"169","407.3","1853.4","110.7","258","1187","25","0"
"170","409.3","1862.7","110.7","258","1187","25","0"
"171","411.9","1874.6","109.7","265","1212","26","0"
"172","414.0","1883.9","109.7","265","1212","25","0"
"173","416.5","1895.8","109.4","267","1219","26","0"
"174","418.6","1905.2","110.1","262","1202","25","0"
"175","421.2","1917.1","109.7","265","1212","26","0"
"176","423.3","1926.4","109.7","265","1212","26","0"
"177","425.8","1938.2","110.3","261","1197","25","0"
"178","427.9","1947.5","110.2","262","1200","25","0"
"179","430.5","1959.4","109.8","264","1209","26","0"
"180","433.0","1971.2","110.8","257","1185","26","0"
"181","435.1","1980.4","110.8","257","1185","26","0"
"182","437.7","1992.3","110.5","259","1192","26","0"
"183","439.7","2001.5","110.5","259","1192","26","0"
"184","442.3","2013.5","109.5","267","1217","26","0"
"185","444.4","2022.7","109.5","267","1217","26","0"
"186","447.0","2034.6","109.9","264","1207","25","0"
"187","449.0","2043.9","109.9","264","1207","25","0"
"188","451.6","2055.8","110.2","262","1200","25","0"
"189","453.7","2065.1","110.2","262","1200","25","0"
"190","456.2","2077.2","109.4","267","1219","26","0"
"191","458.3","2086.5","108.6","273","1240","26","0"
"192","460.9","2098.3","109.5","267","1217","26","0"
"193","462.9","2107.6","110.1","262","1202","26","0"
"194","465.5","2119.5","110.2","262","1200","26","0"
"195","467.6","2128.8","109.9","264","1207","26","0"
"196","470.2","2140.7","109.9","264","1207","26","0"
"197","472.2","2150.1","109.9","264","1207","26","0"
"198","474.8","2162.1","109.2","269","1225","26","0"
"199","476.9","2171.5","109.2","269","1225","26","0"
"200","478.9","2181.1","108.4","275","1245","26","0"
"201","481.5","2193.2","108.0","278","1256","27","0"
"202","483.6","2202.6","108.2","276","1250","27","0"
"203","486.1","2214.7","108.3","276","1248","27","0"
"204","488.2","2224.1","108.3","276","1248","27","0"
"205","490.8","2236.3","108.3","276","1248","26","0"
"206","492.8","2245.6","108.3","276","1248","26","0"
"207","495.4","2257.5","109.9","264","1207","26","0"
"208","497.5","2266.9","109.9","264","1207","26","0"
"209","500.1","2278.7","110.2","262","1200","25","0"
"210","502.1","2288.0","110.2","262","1200","25","0"
"211","504.7","2300.0","109.5","267","1217","26","0"
"212","506.8","2309.4","109.5","267","1217","26","0"
"213","508.8","2318.7","108.9","271","1232","26","0"
"214","511.4","2330.7","109.4","267","1219","26","0"
"215","513.5","2340.0","109.4","267","1219","26","0"
"216","516.0","2352.0","109.2","269","1225","27","0"
"217","518.1","2361.5","109.6","266","1214","26","0"
"218","520.7","2373.4","108.5","274","1243","26","0"
"219","522.7","2382.9","108.7","273","1237","26","0"
"220","525.3","2395.0","108.1","277","1253","26","0"
"221","527.4","2404.4","107.8","279","1261","26","0"
"222","530.0","2416.4","109.2","269","1225","26","0"
"223","532.0","2425.8","108.9","271","1232","26","0"
"224","534.1","2435.3","108.5","274","1243","26","0"
"225","536.7","2447.4","108.4","275","1245","27","0"
"226","538.7","2456.8","108.7","273","1237","27","0"
"227","541.3","2468.8","109.3","268","1222","27","0"
"228","543.4","2478.4","109.3","268","1222","27","0"
"229","545.4","2487.8","107.4","283","1272","27","0"
"230","548.0","2500.0","108.3","276","1248","26","0"
"231","550.1","2509.5","108.3","276","1248","26","0"
"232","552.1","2519.0","107.6","281","1266","27","0"
"233","554.2","2528.6","107.8","279","1261","27","0"
"234","556.8","2540.8","107.6","281","1266","27","0"
"235","558.8","2550.4","107.6","281","1266","27","0"
"236","560.9","2559.9","107.3","283","1275","28","0"
"237","563.0","2569.5","108.4","275","1245","27","0"
"238","565.5","2581.8","106.9","287","1286","28","0"
"239","567.6","2591.5","106.9","287","1286","28","0"
"240","569.7","2601.1","107.0","286","1283","28","0"
"241","571.7","2611.0","106.5","290","1297","28","0"
"242","573.8","2621.2","104.3","308","1361","29","0"
"243","575.9","2631.5","101.6","334","1448","29","0"
"244","577.9","2641.7","100.8","342","1476","29","0"
"245","580.0","2652.1","100.9","341","1472","29","0"
"246","582.0","2662.2","100.7","343","1479","30","0"
"247","584.1","2672.4","101.8","332","1441","29","0"
"248","586.2","2682.6","101.8","332","1441","29","0"
"249","588.2","2692.9","100.5","345","1486","29","0"
"250","590.3","2703.2","100.9","341","1472","29","0"
"251","592.4","2713.4","101.1","339","1465","30","0"
"252","594.4","2723.7","101.0","340","1469","29","0"
"253","596.5","2734.0","101.1","339","1465","29","0"
"254","598.5","2744.3","101.1","339","1465","29","0"
